"","ref","target","t","match","gold","syn_def","definition","syn_words","syn","pos","id","freq.x","freq.y","synset","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"1015","drive_back","repel","1860","True","-1","force or drive back","State/declare/set forth/Refuse/rebuff","['repel', 'repulse', 'fight_off', 'rebuff', 'drive_back']","Synset('repel.v.03')","vt","02.07.06.23|16","14321.5",NA,"repel.v.03","3","1","5","1",NA,NA,NA,NA
"1016","drooping","cernuous","1852","True","-1","having branches or flower heads that bend downward","Growing/that grows/Of plants defined by habit/erect/drooping","['cernuous', 'drooping', 'nodding', 'pendulous', 'weeping']","Synset('cernuous.s.01')","adj","01.06.06.03|05",NA,"6455.5","cernuous.s.01","1","6","1","3",NA,NA,NA,NA
"1017","drop_the_ball","goof","1940","True","1","commit a faux pas or a fault or make a serious mistake","Know, be aware of/Blunder","['drop_the_ball', 'sin', 'blunder', 'boob', 'goof']","Synset('drop_the_ball.v.01')","vi","02.01.12.08.06.01.01","790.5",NA,"drop_the_ball.v.01","3","1","1","1",NA,NA,NA,NA
"1018","drop_the_ball","boob","1934","True","1","commit a faux pas or a fault or make a serious mistake","Know, be aware of/Blunder","['drop_the_ball', 'sin', 'blunder', 'boob', 'goof']","Synset('drop_the_ball.v.01')","vi","02.01.12.08.06.01.01","808",NA,"drop_the_ball.v.01","3","1","1","1",NA,NA,NA,NA
"1019","drudge","labour","1894","True","-1","work hard","Carry on an occupation/work/work hard/toil","['labor', 'labour', 'toil', 'fag', 'travail', 'grind', 'drudge', 'dig', 'moil']","Synset('labor.v.02')","vi","03.11.04|13","1094347.5","1347","labor.v.02","5","3","3","1","1","1","0.0425401276844894","-0.648484848484848"
"1020","drudge","labour","1894","True","-1","work hard","Manner of action/Exert oneself/make an effort/toil","['labor', 'labour', 'toil', 'fag', 'travail', 'grind', 'drudge', 'dig', 'moil']","Synset('labor.v.02')","vi","01.15.20.02|13","1094347.5","1347","labor.v.02","5","3","3","1","1","1","0.0425401276844894","-0.648484848484848"
"1021","dry","wry","1928","True","1","humorously sarcastic or mocking","Able to understand/Ironic","['dry', 'ironic', 'ironical', 'wry']","Synset('dry.s.02')","adj","02.01.08.01.03.01.01","10194","553398","dry.s.02","1","5","2","4","0","0","0.866526270675909","-0.0714285714285714"
"1022","dull","tedious","1898","True","-1","so lacking in interest as to cause mental weariness","Manner of action/Slow/not rapid/slow to act/dilatory","['boring', 'deadening', 'dull', 'ho-hum', 'irksome', 'slow', 'tedious', 'tiresome', 'wearisome']","Synset('boring.s.01')","adj","01.15.20.06|06","33599.5","68775.5","boring.s.01","1","11","2","6","0","0","0.160145437255259","0.454545454545455"
"1023","duplicate","twinned","1872","True","-1","being two identical","Of/belonging to/characterized by relationship/Correlative/twin/forming a pair/couple","['duplicate', 'matching', 'twin', 'twinned']","Synset('duplicate.s.02')","adj","01.16.01.03|06","399.5","35347","duplicate.s.02","5","8","2","2",NA,NA,NA,NA
"1024","duplicate","replicate","1922","True","1","make or do or perform again","Repeat/an experiment/computing procedure","['duplicate', 'reduplicate', 'double', 'repeat', 'replicate']","Synset('duplicate.v.01')","vt","01.15.04|04","14979","35347","duplicate.v.01","3","3","3","2",NA,NA,NA,NA
"1025","duplicate","replicate","1922","True","1","make or do or perform again","Make an experiment/repeat","['duplicate', 'reduplicate', 'double', 'repeat', 'replicate']","Synset('duplicate.v.01')","v","01.10.02.04|01","14979","35347","duplicate.v.01","3","3","3","2",NA,NA,NA,NA
"1026","duplicitous","ambidextrous","1858","True","-1","marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another","Pertaining to cognition/Shifty, evasive/double-dealing","['ambidextrous', 'deceitful', 'double-dealing', 'duplicitous', 'Janus-faced', 'two-faced', 'double-faced', 'double-tongued']","Synset('ambidextrous.s.02')","adj","02.01.12.08.07.02|02","288","26","ambidextrous.s.02","2","1","1","1",NA,NA,NA,NA
"1027","dwell","inhabit","1870","True","-1","exist or be situated within","Inhabit/dwell","['dwell', 'inhabit']","Synset('dwell.v.04')","vi","03.02","23594","101317.5","dwell.v.04","3","4","3","5","0","0","0.70738987351426","0.115384615384615"
"1028","dwell","inhabit","1870","True","-1","inhabit or live in be an inhabitant of","Inhabit/dwell","['populate', 'dwell', 'live', 'inhabit']","Synset('populate.v.01')","vi","03.02","23594","101317.5","populate.v.01","1","3","3","5","0","0","0.70738987351426","0.115384615384615"
"1029","echoic","onomatopoeical","1880","True","-1","of words formed in imitation of a natural sound","Pertaining to linguistics/Speech sound/onomatopoeic","['echoic', 'imitative', 'onomatopoeic', 'onomatopoeical', 'onomatopoetic']","Synset('echoic.a.01')","adj","02.07.04.03.01|16",NA,"44","echoic.a.01","1","1","1","1",NA,NA,NA,NA
"1030","economical","frugal","1894","True","-1","avoiding waste","Retaining/Sparing/frugal/of things: sparingly used/supplied","['economical', 'frugal', 'scotch', 'sparing', 'stinting']","Synset('economical.s.03')","adj","02.06.10.01|06","4057.5","47810","economical.s.03","1","3","1","1","1","1","0.0259841339187655","-0.663636363636364"
"1031","ecumenical","universal","1876","True","-1","of worldwide scope or applicability","Of/belonging to a kind/sort/General/of no special quality/of a general pattern","['cosmopolitan', 'ecumenical', 'oecumenical', 'general', 'universal', 'worldwide', 'world-wide']","Synset('cosmopolitan.s.03')","adj","01.16.02.01|08.05","491380","13108.5","cosmopolitan.s.03","5","2","3","2","0","1","0.00117353818015547","0.866666666666667"
"1032","edit","cut","1938","True","1","cut and assemble the components of","The Arts/Edit","['edit', 'cut', 'edit_out']","Synset('edit.v.03')","vt","03.13.03.05.17.04","1506192.5","143091.5","edit.v.03","30","3","17","4","1","0","0.052181400457058","0.75"
"1033","edit_out","cut","1938","True","1","cut and assemble the components of","The Arts/Edit","['edit', 'cut', 'edit_out']","Synset('edit.v.03')","vt","03.13.03.05.17.04","1506192.5",NA,"edit.v.03","30","1","17","1",NA,NA,NA,NA
"1034","effeminate","sissified","1904","True","1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03",NA,"2920.5","effeminate.s.01","1","1","1","1",NA,NA,NA,NA
"1035","effeminate","cissy","1930","True","1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03","137.5","2920.5","effeminate.s.01","1","1","1","1",NA,NA,NA,NA
"1036","effeminate","emasculate","1866","True","-1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03","224","2920.5","effeminate.s.01","3","1","1","1",NA,NA,NA,NA
"1037","egotistic","self-conceited","1886","True","-1","characteristic of false pride having an exaggerated sense of selfimportance","Proud/Conceited","['conceited', 'egotistic', 'egotistical', 'self-conceited', 'swollen', 'swollen-headed', 'vain']","Synset('conceited.s.01')","adj","02.04.19.14.02",NA,"356","conceited.s.01","1","2","1","2",NA,NA,NA,NA
"1038","egotistic","swollen-headed","1928","True","1","characteristic of false pride having an exaggerated sense of selfimportance","Proud/Conceited","['conceited', 'egotistic', 'egotistical', 'self-conceited', 'swollen', 'swollen-headed', 'vain']","Synset('conceited.s.01')","adj","02.04.19.14.02",NA,"356","conceited.s.01","1","2","1","2",NA,NA,NA,NA
"1039","egotistical","self-conceited","1886","True","-1","characteristic of false pride having an exaggerated sense of selfimportance","Proud/Conceited","['conceited', 'egotistic', 'egotistical', 'self-conceited', 'swollen', 'swollen-headed', 'vain']","Synset('conceited.s.01')","adj","02.04.19.14.02",NA,"1453.5","conceited.s.01","1","2","1","2",NA,NA,NA,NA
"1040","egotistical","swollen-headed","1928","True","1","characteristic of false pride having an exaggerated sense of selfimportance","Proud/Conceited","['conceited', 'egotistic', 'egotistical', 'self-conceited', 'swollen', 'swollen-headed', 'vain']","Synset('conceited.s.01')","adj","02.04.19.14.02",NA,"1453.5","conceited.s.01","1","2","1","2",NA,NA,NA,NA
"1041","electrocute","fry","1928","True","1","kill by electrocution as in the electric chair","Punish/Execute/electrocute","['electrocute', 'fry']","Synset('electrocute.v.02')","vt","03.04.12.03|15","40244.5","92","electrocute.v.02","6","2","3","2",NA,NA,NA,NA
"1042","elevate","upgrade","1920","True","1","give a promotion to or assign to a higher position","Carry on an occupation/Have career/promote/upgrade","['promote', 'upgrade', 'advance', 'kick_upstairs', 'raise', 'elevate']","Synset('promote.v.02')","vt","03.11.04.01|08","14530.5","15876","promote.v.02","9","1","5","3",NA,NA,NA,NA
"1043","elicit","educe","1878","True","-1","deduce a principle or construe a meaning","Cause/bring about/elicit/call forth","['educe', 'evoke', 'elicit', 'extract', 'draw_out']","Synset('educe.v.01')","vt","01.11.03|05","152.5","37972","educe.v.01","1","2","2","3",NA,NA,NA,NA
"1044","elucidate","enlighten","1870","True","-1","make free from confusion or ambiguity make clear","Shine/Illuminate","['clear', 'clear_up', 'shed_light_on', 'crystallize', 'crystallise', 'crystalize', 'crystalise', 'straighten_out', 'sort_out', 'enlighten', 'illuminate', 'elucidate']","Synset('clear.v.10')","vt","01.10.08.04","8423","21465.5","clear.v.10","3","2","3","2","1","1","0.000620988384930036","-0.818681318681319"
"1045","elude","bilk","1852","True","-1","escape either physically or mentally","Make safe/secure/Escape from/contrive to escape/evade/a person/slip away from","['elude', 'evade', 'bilk']","Synset('elude.v.01')","vt","01.15.15.03|08.02","50.5","4586","elude.v.01","4","1","4","3",NA,NA,NA,NA
"1046","emasculate","sissified","1904","True","1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03",NA,"224","effeminate.s.01","1","3","1","1",NA,NA,NA,NA
"1047","emasculate","cissy","1930","True","1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03","137.5","224","effeminate.s.01","1","3","1","1",NA,NA,NA,NA
"1048","embarrassing","sticky","1914","True","1","hard to deal with especially causing pain or embarrassment","Difficult/Types of difficulty/difficult/awkward","['awkward', 'embarrassing', 'sticky', 'unenviable']","Synset('awkward.s.05')","adj","01.15.11.01|09","11774","27152.5","awkward.s.05","4","3","5","2","0","0","1","0"
"1049","embezzle","malversate","1928","True","-1","appropriate as property entrusted to ones care fraudulently to ones own use","Take/Embezzle/misappropriate","['embezzle', 'defalcate', 'peculate', 'misappropriate', 'malversate']","Synset('embezzle.v.01')","vt","02.06.13.05.11","3","187.5","embezzle.v.01","1","1","1","1",NA,NA,NA,NA
"1050","embodied","bodied","1854","True","-1","possessing or existing in bodily form","Of/pertaining to existence/Having substance/concrete/embodied","['bodied', 'corporal', 'corporate', 'embodied', 'incarnate']","Synset('bodied.s.02')","adj","01.11.01.03|08.02","34157","100925","bodied.s.02","3","4","1","2","1","0","0.909462117094591","-0.0321428571428571"
"1051","embrocate","anele","1852","True","-1","administer an oil or ointment to often in a religious ceremony of blessing","Worship/Anoint/of the sick/dying","['anoint', 'inunct', 'oil', 'anele', 'embrocate']","Synset('anoint.v.02')","vt","03.08.04.08.06|02",NA,NA,"anoint.v.02","1","1","1","1",NA,NA,NA,NA
"1052","embrocate","oil","1850","True","-1","administer an oil or ointment to often in a religious ceremony of blessing","Worship/Anoint/to an office","['anoint', 'inunct', 'oil', 'anele', 'embrocate']","Synset('anoint.v.02')","vt","03.08.04.08.06|01","1250614.5",NA,"anoint.v.02","6","1","3","1",NA,NA,NA,NA
"1053","emit","utter","1904","True","-1","express audibly utter sounds not necessarily words","Cause to move in a direction/Let/send out/emit","['utter', 'emit', 'let_out', 'let_loose']","Synset('utter.v.02')","vt","01.14.05.11.01|03","66266.5","13567","utter.v.02","2","3","3","3","1","0","0.700931884910058","-0.139393939393939"
"1054","enamor","catch","1850","True","-1","attract cause to be enamored","Motivate/Attract/allure/entice/fascinate","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","02.05.06.02|07","449234","0","capture.v.02","33","1","19","1",NA,NA,NA,NA
"1055","enamor","becharm","1882","True","-1","attract cause to be enamored","Enchant/cast under spell","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","01.17.02.02.03",NA,"0","capture.v.02","2","1","2","1",NA,NA,NA,NA
"1056","enamor","fascinate","1874","True","-1","attract cause to be enamored","Have motive/Attract/allure/entice/fascinate/enchant","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vi","02.05.06.02|01","1305","0","capture.v.02","3","1","3","1",NA,NA,NA,NA
"1057","enamour","becharm","1882","True","-1","attract cause to be enamored","Enchant/cast under spell","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","01.17.02.02.03",NA,"29","capture.v.02","2","1","2","1",NA,NA,NA,NA
"1058","enamour","fascinate","1874","True","-1","attract cause to be enamored","Have motive/Attract/allure/entice/fascinate/enchant","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vi","02.05.06.02|01","1305","29","capture.v.02","3","1","3","1",NA,NA,NA,NA
"1059","enamour","catch","1850","True","-1","attract cause to be enamored","Motivate/Attract/allure/entice/fascinate","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","02.05.06.02|07","449234","29","capture.v.02","33","1","19","1",NA,NA,NA,NA
"1060","encamp","camp","1888","True","-1","live in or as if in a tent","Provide with dwelling/in camp/tent","['camp', 'encamp', 'camp_out', 'bivouac', 'tent']","Synset('camp.v.01')","vt","03.02.03|06","432928","1099.5","camp.v.01","9","1","4","1","1","1","0.000235899812159415","-0.933333333333333"
"1061","enchant","hex","1932","True","1","cast a spell over someone or something put a hex on someone or something","Enchant/cast under spell/put an evil spell on","['hex', 'bewitch', 'glamour', 'witch', 'enchant', 'jinx']","Synset('hex.v.01')","vt","01.17.02.02.03|08","1513","430","hex.v.01","2","3","1","3",NA,NA,NA,NA
"1062","enchant","becharm","1882","True","-1","attract cause to be enamored","Enchant/cast under spell","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","01.17.02.02.03",NA,"430","capture.v.02","2","2","2","3",NA,NA,NA,NA
"1063","enchant","fascinate","1874","True","-1","attract cause to be enamored","Have motive/Attract/allure/entice/fascinate/enchant","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vi","02.05.06.02|01","1305","430","capture.v.02","3","2","3","3",NA,NA,NA,NA
"1064","enchant","glamour","1888","True","-1","cast a spell over someone or something put a hex on someone or something","Enchant/cast under spell","['hex', 'bewitch', 'glamour', 'witch', 'enchant', 'jinx']","Synset('hex.v.01')","vt","01.17.02.02.03","5044","430","hex.v.01","2","3","1","3",NA,NA,NA,NA
"1065","enchant","catch","1850","True","-1","attract cause to be enamored","Motivate/Attract/allure/entice/fascinate","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","02.05.06.02|07","449234","430","capture.v.02","33","2","19","3",NA,NA,NA,NA
"1066","enchant","jinx","1916","True","1","cast a spell over someone or something put a hex on someone or something","Enchant/cast under spell/put an evil spell on","['hex', 'bewitch', 'glamour', 'witch', 'enchant', 'jinx']","Synset('hex.v.01')","vt","01.17.02.02.03|08","205.5","430","hex.v.01","3","3","2","3",NA,NA,NA,NA
"1067","enchantingly","bewitchingly","1882","True","-1","in a bewitching manner","As regards motivation/Attractingly/alluringly/enticingly/fascinatingly/enchantingly","['bewitchingly', 'captivatingly', 'enchantingly', 'enthrallingly']","Synset('bewitchingly.r.01')","adv","02.05.06.02|01","27","122","bewitchingly.r.01","1","1","1","1",NA,NA,NA,NA
"1068","encounter","meet","1854","True","-1","contend against an opponent in a sport game or battle","Befall/encounter/experience","['meet', 'encounter', 'play', 'take_on']","Synset('meet.v.10')","vt","01.11.04|01","1885340.5","190973.5","meet.v.10","11","9","5","4","1","1","3.01064562140084e-07","-0.935714285714286"
"1069","encounter","meet","1854","True","-1","experience as a reaction","Befall/encounter/experience","['meet', 'encounter', 'receive']","Synset('meet.v.11')","vt","01.11.04|01","1885340.5","190973.5","meet.v.11","12","8","5","4","1","1","3.01064562140084e-07","-0.935714285714286"
"1070","encounter","happen","1884","True","-1","come upon as if by accident meet with","Befall/encounter/experience","['find', 'happen', 'chance', 'bump', 'encounter']","Synset('find.v.01')","vt","01.11.04|01","1169737","190973.5","find.v.01","5","6","5","4","0","0","0.470531995381542","0.230769230769231"
"1071","encounter","meet","1854","True","-1","come together","Befall/encounter/experience","['meet', 'run_into', 'encounter', 'run_across', 'come_across', 'see']","Synset('meet.v.01')","vt","01.11.04|01","1885340.5","190973.5","meet.v.01","2","5","5","4","1","1","3.01064562140084e-07","-0.935714285714286"
"1072","encumber","cumber","1864","True","-1","hold back","Of difficulty: beset (a person)/Hinder in specific manner/encumber","['restrain', 'encumber', 'cumber', 'constrain']","Synset('restrain.v.04')","vt","01.15.11.03.01|04","434","1877","restrain.v.04","1","1","1","1",NA,NA,NA,NA
"1073","endless","dateless","1870","True","-1","having no known beginning and presumably no end","Having/pertaining to duration/Eternal/endless","['dateless', 'endless', 'sempiternal']","Synset('dateless.s.01')","adj","01.13.02.01","246","68920.5","dateless.s.01","1","3","4","4",NA,NA,NA,NA
"1074","endless","dateless","1894","True","-1","having no known beginning and presumably no end","Having/pertaining to duration/Eternal/endless/in past and future duration/transcending time","['dateless', 'endless', 'sempiternal']","Synset('dateless.s.01')","adj","01.13.02.01|04","246","68920.5","dateless.s.01","1","3","4","4",NA,NA,NA,NA
"1075","endurable","bearable","1854","True","-1","capable of being borne though unpleasant","Calm/Patient/forbearing/tolerant/endurable/tolerable","['bearable', 'endurable', 'sufferable', 'supportable']","Synset('bearable.s.01')","adj","02.04.09.04|03.02","2909.5","819","bearable.s.01","1","1","1","1","1","0","0.284756979865294","-0.6"
"1076","endure","stomach","1854","True","-1","put up with something or somebody unpleasant","Invest with body/Digest","['digest', 'endure', 'stick_out', 'stomach', 'bear', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up']","Synset('digest.v.03')","vt","01.02.03.18.01","311576","99560.5","digest.v.03","6","1","3","7","0","0","0.265472685710278","0.307142857142857"
"1077","endure","bear","1916","True","-1","put up with something or somebody unpleasant","Have specific position/arrangement/Support/bear weight (of ice)","['digest', 'endure', 'stick_out', 'stomach', 'bear', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up']","Synset('digest.v.03')","vi","01.12.05.09|02","907347.5","99560.5","digest.v.03","5","1","7","7","1","0","1","0"
"1078","engage","rent","1956","True","1","engage for service under a term of contract","Take/Practise extortion on","['lease', 'rent', 'hire', 'charter', 'engage', 'take']","Synset('lease.v.04')","vt","02.06.13.03","232944","387537","lease.v.04","7","9","4","10","1","0","0.391002218955771","0.5"
"1079","engage","charter","1932","True","1","engage for service under a term of contract","Buy/Hire/an aircraft","['lease', 'rent', 'hire', 'charter', 'engage', 'take']","Synset('lease.v.04')","vt","03.12.11.02|04","252848","387537","lease.v.04","5","9","2","10","0","1","0.0136973266153257","-0.857142857142857"
"1080","engage","mesh","1912","True","1","keep engaged","Furnish with wheel(s)/engage/cause to engage","['engage', 'mesh', 'lock', 'operate']","Synset('engage.v.10')","vt","03.11.11.42.05.06|01","22915.5","387537","engage.v.10","6","10","4","10","0","0","0.700094230969142","-0.15"
"1081","enlace","lace","1888","True","-1","spinwind or twist together","Have specific position/arrangement/Intertwine/interweave","['intertwine', 'twine', 'entwine', 'enlace', 'interlace', 'lace']","Synset('intertwine.v.01')","vi","01.12.05.24","27598","21","intertwine.v.01","3","1","3","1",NA,NA,NA,NA
"1082","enlarge","elaborate","1934","True","1","add details as to an account or idea clarify the meaning of and discourse in a learned way usually in writing","The Arts/Be copious/expatiate","['elaborate', 'lucubrate', 'expatiate', 'exposit', 'enlarge', 'flesh_out', 'expand', 'expound', 'dilate']","Synset('elaborate.v.01')","vi","03.13.03.04.05.04|01","108337","31488.5","elaborate.v.01","1","4","3","4","1","0","0.879048193148154","0.0714285714285714"
"1083","ensuant","concomitant","1864","True","-1","following or accompanying as a consequence","Of/belonging to/characterized by relationship/Accompanying","['attendant', 'consequent', 'accompanying', 'concomitant', 'incidental', 'ensuant', 'resultant', 'sequent']","Synset('attendant.s.02')","adj","01.16.01.12","21659",NA,"attendant.s.02","2","1","1","1",NA,NA,NA,NA
"1084","enthralled","captivated","1888","True","-1","filled with wonder and delight","Pleasurable/pleased/filled with pleasure/charmed/captivated","['beguiled', 'captivated', 'charmed', 'delighted', 'enthralled', 'entranced']","Synset('beguiled.s.01')","adj","02.04.10|02.05","5122","2049","beguiled.s.01","3","3","1","1","1","0","0.188120404374188","-0.7"
"1085","enthralled","charmed","1888","True","-1","filled with wonder and delight","Pleasurable/pleased/filled with pleasure/charmed/captivated","['beguiled', 'captivated', 'charmed', 'delighted', 'enthralled', 'entranced']","Synset('beguiled.s.01')","adj","02.04.10|02.05","9085.5","2049","beguiled.s.01","6","3","3","1","1","0","0.188120404374188","-0.7"
"1086","enthrallingly","bewitchingly","1882","True","-1","in a bewitching manner","As regards motivation/Attractingly/alluringly/enticingly/fascinatingly/enchantingly","['bewitchingly', 'captivatingly', 'enchantingly', 'enthrallingly']","Synset('bewitchingly.r.01')","adv","02.05.06.02|01","27",NA,"bewitchingly.r.01","1","1","1","1",NA,NA,NA,NA
"1087","entrance","becharm","1882","True","-1","attract cause to be enamored","Enchant/cast under spell","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","01.17.02.02.03",NA,"319297.5","capture.v.02","2","4","2","2",NA,NA,NA,NA
"1088","entrance","fascinate","1874","True","-1","attract cause to be enamored","Have motive/Attract/allure/entice/fascinate/enchant","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vi","02.05.06.02|01","1305","319297.5","capture.v.02","3","4","3","2","0","0","0.701657942516273","0.178571428571429"
"1089","entrance","catch","1850","True","-1","attract cause to be enamored","Motivate/Attract/allure/entice/fascinate","['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']","Synset('capture.v.02')","vt","02.05.06.02|07","449234","319297.5","capture.v.02","33","4","19","2","1","1","0.0411585803869343","-0.532142857142857"
"1090","entranced","charmed","1888","True","-1","filled with wonder and delight","Pleasurable/pleased/filled with pleasure/charmed/captivated","['beguiled', 'captivated', 'charmed', 'delighted', 'enthralled', 'entranced']","Synset('beguiled.s.01')","adj","02.04.10|02.05","9085.5","2523.5","beguiled.s.01","6","3","3","1","1","0","0.200570217034051","-0.418181818181818"
"1091","entranced","captivated","1888","True","-1","filled with wonder and delight","Pleasurable/pleased/filled with pleasure/charmed/captivated","['beguiled', 'captivated', 'charmed', 'delighted', 'enthralled', 'entranced']","Synset('beguiled.s.01')","adj","02.04.10|02.05","5122","2523.5","beguiled.s.01","3","3","1","1","1","0","0.355028439701507","-0.309090909090909"
"1092","entrust","confide","1858","True","-1","confer a trust upon","Believe/Trust","['entrust', 'intrust', 'trust', 'confide', 'commit']","Synset('entrust.v.01')","vi","02.01.13.02","13110","7855.5","entrust.v.01","2","1","2","2","1","1","0.00392119050687956","-0.696428571428571"
"1093","entwine","lace","1888","True","-1","spinwind or twist together","Have specific position/arrangement/Intertwine/interweave","['intertwine', 'twine', 'entwine', 'enlace', 'interlace', 'lace']","Synset('intertwine.v.01')","vi","01.12.05.24","27598","240","intertwine.v.01","3","2","3","2",NA,NA,NA,NA
"1094","enumerable","denumerable","1902","True","1","that can be counted","Pertaining to number/Pertaining to enumeration/calculation/numerable/reckonable/denumerable","['countable', 'denumerable', 'enumerable', 'numerable']","Synset('countable.s.01')","adj","01.16.04.06|02.01","170","138.5","countable.s.01","1","1","1","1",NA,NA,NA,NA
"1095","ephemeral","fugacious","1864","True","-1","lasting a very short time","Having/pertaining to duration/Fleeting/transitory","['ephemeral', 'passing', 'short-lived', 'transient', 'transitory', 'fugacious']","Synset('ephemeral.s.01')","adj","01.13.02.02.01","33.5","5136","ephemeral.s.01","1","2","1","1",NA,NA,NA,NA
"1096","epicene","cissy","1930","True","1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03","137.5","61.5","effeminate.s.01","1","3","1","1",NA,NA,NA,NA
"1097","epicene","sissified","1904","True","1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03",NA,"61.5","effeminate.s.01","1","3","1","1",NA,NA,NA,NA
"1098","epicene","emasculate","1866","True","-1","having unsuitable feminine qualities","Sexual/Pertaining to homosexuality/effeminate/homosexual","['effeminate', 'emasculate', 'epicene', 'cissy', 'sissified', 'sissyish', 'sissy']","Synset('effeminate.s.01')","adj","01.09.03.06.02|03","224","61.5","effeminate.s.01","3","3","1","1",NA,NA,NA,NA
"1099","epicyclic","epicyclical","1854","True","-1","of or relating to an epicycle","Pertaining to number/Pertaining to shape/figure/circular/two-dimensional/epicyclic","['epicyclic', 'epicyclical']","Synset('epicyclic.a.01')","adj","01.16.04.12.07|01.02.02","3","82","epicyclic.a.01","1","1","1","1",NA,NA,NA,NA
"1100","eponymous","eponymic","1882","True","-1","being or relating to or bearing the name of an eponym","Pertaining to naming/eponymous","['eponymous', 'eponymic']","Synset('eponymous.a.01')","adj","02.07.05|16","9.5","682","eponymous.a.01","1","1","1","1",NA,NA,NA,NA
"1101","equal","match","1856","True","-1","make equal uniform corresponding or matching","Relate to/Make equal/equal/match/rival","['equal', 'match', 'equalize', 'equalise', 'equate']","Synset('equal.v.03')","vt","01.16.01.11|03","268532","2059402","equal.v.03","19","4","9","2","1","0","0.0711308082556333","-0.478571428571428"
